Domain,Problem,Planner,solved,cost,length,expanded,time
spider-sat18-strips,p14,solver_1,True,25.0,135.0,227.0,0.776608
spider-sat18-strips,p13,solver_1,False,,,,
spider-sat18-strips,p17,solver_1,True,39.0,239.0,1841.0,8.88845
spider-sat18-strips,p01,solver_1,True,34.0,221.0,905.0,2.540518
spider-sat18-strips,p20,solver_1,True,53.0,310.0,563.0,20.111473
spider-sat18-strips,p09,solver_1,True,46.0,248.0,1723.0,6.822732
spider-sat18-strips,p08,solver_1,True,42.0,195.0,6687.0,10.792412
spider-sat18-strips,p05,solver_1,False,,,,
spider-sat18-strips,p04,solver_1,True,66.0,359.0,9758.0,64.372973
spider-sat18-strips,p03,solver_1,False,,,,
spider-sat18-strips,p07,solver_1,True,37.0,195.0,33515.0,24.825491
spider-sat18-strips,p16,solver_1,True,43.0,219.0,8803.0,16.879525
spider-sat18-strips,p19,solver_1,True,54.0,304.0,3126.0,36.822977
spider-sat18-strips,p18,solver_1,True,42.0,239.0,2814.0,18.316045
spider-sat18-strips,p02,solver_1,True,63.0,344.0,28139.0,66.260045
spider-sat18-strips,p10,solver_1,True,44.0,252.0,821.0,6.608642
spider-sat18-strips,p12,solver_1,True,59.0,329.0,3657.0,52.636849
spider-sat18-strips,p15,solver_1,True,30.0,174.0,298.0,1.635919
spider-sat18-strips,p11,solver_1,True,65.0,329.0,2710.0,22.152946
pegsol-sat11-strips,p06,solver_1,True,13.0,27.0,761.0,0.010319
pegsol-sat11-strips,p14,solver_1,True,15.0,32.0,788.0,0.010172
pegsol-sat11-strips,p13,solver_1,True,11.0,23.0,134.0,0.003605
pegsol-sat11-strips,p17,solver_1,True,19.0,40.0,38957.0,0.364369
pegsol-sat11-strips,p01,solver_1,True,14.0,28.0,11533.0,0.101963
pegsol-sat11-strips,p20,solver_1,True,30.0,60.0,109684.0,1.119858
pegsol-sat11-strips,p09,solver_1,True,15.0,32.0,1022.0,0.011062
pegsol-sat11-strips,p08,solver_1,True,15.0,30.0,699.0,0.010362
pegsol-sat11-strips,p05,solver_1,True,14.0,28.0,108.0,0.003794
pegsol-sat11-strips,p04,solver_1,True,14.0,28.0,352.0,0.007618
pegsol-sat11-strips,p03,solver_1,True,12.0,26.0,322.0,0.007795
pegsol-sat11-strips,p07,solver_1,True,15.0,30.0,2132.0,0.018902
pegsol-sat11-strips,p16,solver_1,True,18.0,36.0,468.0,0.007436
pegsol-sat11-strips,p19,solver_1,True,25.0,51.0,6680159.0,71.460384
pegsol-sat11-strips,p18,solver_1,True,22.0,45.0,106042.0,1.04314
pegsol-sat11-strips,p02,solver_1,True,15.0,29.0,1938.0,0.01925
pegsol-sat11-strips,p10,solver_1,True,14.0,29.0,626.0,0.007776
pegsol-sat11-strips,p12,solver_1,True,16.0,32.0,495.0,0.009793
pegsol-sat11-strips,p15,solver_1,True,13.0,26.0,178.0,0.00395
pegsol-sat11-strips,p11,solver_1,True,15.0,30.0,267.0,0.00617
caldera-sat18-strips,p06,solver_1,True,23.0,23.0,79.0,0.17627
caldera-sat18-strips,p14,solver_1,False,,,,
caldera-sat18-strips,p13,solver_1,True,37.0,37.0,358.0,41.35182
caldera-sat18-strips,p17,solver_1,True,45.0,45.0,323.0,70.687814
caldera-sat18-strips,p01,solver_1,True,11.0,11.0,21.0,0.014937
caldera-sat18-strips,p20,solver_1,False,,,,
caldera-sat18-strips,p09,solver_1,True,33.0,33.0,1195.0,12.196431
caldera-sat18-strips,p08,solver_1,True,27.0,27.0,89.0,0.919523
caldera-sat18-strips,p05,solver_1,True,20.0,20.0,70.0,0.264448
caldera-sat18-strips,p04,solver_1,True,16.0,16.0,36.0,0.107315
caldera-sat18-strips,p03,solver_1,True,17.0,17.0,56.0,0.064974
caldera-sat18-strips,p07,solver_1,True,27.0,27.0,71.0,0.666094
caldera-sat18-strips,p16,solver_1,True,43.0,43.0,321.0,29.086913
caldera-sat18-strips,p19,solver_1,False,,,,
caldera-sat18-strips,p18,solver_1,False,,,,
caldera-sat18-strips,p02,solver_1,True,12.0,12.0,22.0,0.017777
caldera-sat18-strips,p10,solver_1,True,27.0,27.0,130.0,1.254667
caldera-sat18-strips,p12,solver_1,True,33.0,33.0,239.0,9.609981
caldera-sat18-strips,p15,solver_1,True,47.0,47.0,287.0,24.661848
caldera-sat18-strips,p11,solver_1,True,33.0,33.0,133.0,5.955654
parking-sat14-strips,p_38_1,solver_1,True,123.0,123.0,3419.0,14.979978
parking-sat14-strips,p_40_3,solver_1,True,123.0,123.0,3710.0,22.225198
parking-sat14-strips,p_30_3,solver_1,True,92.0,92.0,1856.0,3.032118
parking-sat14-strips,p_34_1,solver_1,True,109.0,109.0,2759.0,6.898106
parking-sat14-strips,p_28_3,solver_1,True,96.0,96.0,2194.0,2.545084
parking-sat14-strips,p_32_3,solver_1,True,112.0,112.0,4362.0,7.188063
parking-sat14-strips,p_38_2,solver_1,True,126.0,126.0,7930.0,31.187847
parking-sat14-strips,p_36_2,solver_1,True,107.0,107.0,2751.0,9.186013
parking-sat14-strips,p_34_3,solver_1,True,103.0,103.0,4013.0,8.798529
parking-sat14-strips,p_28_2,solver_1,True,93.0,93.0,2794.0,3.121503
parking-sat14-strips,p_40_1,solver_1,True,113.0,113.0,2383.0,15.816081
parking-sat14-strips,p_30_2,solver_1,True,87.0,87.0,1392.0,2.565121
parking-sat14-strips,p_32_1,solver_1,True,92.0,92.0,3598.0,6.406979
parking-sat14-strips,p_36_1,solver_1,True,121.0,121.0,5002.0,15.069025
parking-sat14-strips,p_40_2,solver_1,True,108.0,108.0,2869.0,17.93969
parking-sat14-strips,p_34_2,solver_1,True,118.0,118.0,3527.0,7.872627
parking-sat14-strips,p_30_1,solver_1,True,72.0,72.0,827.0,1.974987
