Planner,Total_Solved,Coverage_Pct,IPC_Speed_Score,IPC_Quality_Score,Avg_Time,Avg_Cost
solver_1,730,77.7,612.52,625.23,14.36,817.28
solver_2,614,65.4,433.56,528.29,17.3,576.4
solver_4,499,53.1,167.21,470.9,23.02,614.21
solver_3,231,24.6,106.37,206.4,30.79,662.83
